Timer started ...
MOD: delay(1250 1250), type(tTMRCO20), from(I1.OSCOUT), to(I1.TIMEROUT)
NET: delay(405 405), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tMCELL), from(DIP0.PAD), to(X3.D )
NET: delay(405 405), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tMCELL), from(DIP0.PAD), to(X2.D )
NET: delay(405 405), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tMCELL), from(DIP0.PAD), to(X1.D )
NET: delay(405 405), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tMCELL), from(DIP0.PAD), to(X0.D.X2 )
NET: delay(405 405), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tMCELL), from(DIP0.PAD), to(X0.D.X1 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X4.Q ), to(Q3.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X4.Q ), to(Q2.D.X1 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X4.Q ), to(X5.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X4.Q ), to(X4.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X4.Q ), to(X0.D.X2 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X4.Q ), to(LED4 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X3.Q ), to(Q3.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X3.Q ), to(Q2.D.X1 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X3.Q ), to(Q0.D.X1 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X3.Q ), to(X4.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X3.Q ), to(X3.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X3.Q ), to(X0.D.X1 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X3.Q ), to(LED3 )
NET: delay(385 385), type(tFBK+tROUTE+tBLA*4+tMCELL), from(X2.Q ), to(Q3.D )
NET: delay(385 385), type(tFBK+tROUTE+tBLA*4+tMCELL), from(X2.Q ), to(Q1.D )
NET: delay(385 385), type(tFBK+tROUTE+tBLA*4+tMCELL), from(X2.Q ), to(X3.D )
NET: delay(385 385), type(tFBK+tROUTE+tBLA*4+tMCELL), from(X2.Q ), to(X2.D )
NET: delay(385 385), type(tFBK+tROUTE+tBLA*4+tMCELL), from(X2.Q ), to(X0.D.X1 )
NET: delay(385 385), type(tFBK+tROUTE+tBLA*4+tMCELL), from(X2.Q ), to(LED2 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(X0.Q ), to(Q3.D )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(X0.Q ), to(X1.D )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(X0.Q ), to(X0.D.X1 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(X0.Q ), to(LED0 )
NET: delay(385 385), type(tFBK+tROUTE+tBLA*4+tMCELL), from(X1.Q ), to(Q3.D )
NET: delay(385 385), type(tFBK+tROUTE+tBLA*4+tMCELL), from(X1.Q ), to(Q1.D )
NET: delay(385 385), type(tFBK+tROUTE+tBLA*4+tMCELL), from(X1.Q ), to(Q0.D.X1 )
NET: delay(385 385), type(tFBK+tROUTE+tBLA*4+tMCELL), from(X1.Q ), to(X2.D )
NET: delay(385 385), type(tFBK+tROUTE+tBLA*4+tMCELL), from(X1.Q ), to(X1.D )
NET: delay(385 385), type(tFBK+tROUTE+tBLA*4+tMCELL), from(X1.Q ), to(LED1 )
NET: delay(385 385), type(tFBK+tROUTE+tBLA*4+tMCELL), from(X5.Q ), to(Q3.D )
NET: delay(385 385), type(tFBK+tROUTE+tBLA*4+tMCELL), from(X5.Q ), to(Q2.D.X1 )
NET: delay(385 385), type(tFBK+tROUTE+tBLA*4+tMCELL), from(X5.Q ), to(Q1.D )
NET: delay(385 385), type(tFBK+tROUTE+tBLA*4+tMCELL), from(X5.Q ), to(Q0.D.X1 )
NET: delay(385 385), type(tFBK+tROUTE+tBLA*4+tMCELL), from(X5.Q ), to(X6.D )
NET: delay(385 385), type(tFBK+tROUTE+tBLA*4+tMCELL), from(X5.Q ), to(X5.D )
NET: delay(385 385), type(tFBK+tROUTE+tBLA*4+tMCELL), from(X5.Q ), to(LED5 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X6.Q ), to(Q3.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X6.Q ), to(Q2.D.X1 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X6.Q ), to(Q1.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X6.Q ), to(X7.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X6.Q ), to(X6.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X6.Q ), to(LED6 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(X7.Q ), to(Q0.D.X1 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(X7.Q ), to(X7.D )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(X7.Q ), to(LED7 )
NET: delay(400 400), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA+tMCELL), from(DIP1.PAD), to(LED7 )
NET: delay(400 400), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA+tMCELL), from(DIP1.PAD), to(LED6 )
NET: delay(400 400), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA+tMCELL), from(DIP1.PAD), to(LED5 )
NET: delay(400 400), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA+tMCELL), from(DIP1.PAD), to(LED4 )
NET: delay(400 400), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA+tMCELL), from(DIP1.PAD), to(LED3 )
NET: delay(400 400), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA+tMCELL), from(DIP1.PAD), to(LED2 )
NET: delay(400 400), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA+tMCELL), from(DIP1.PAD), to(LED1 )
NET: delay(400 400), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA+tMCELL), from(DIP1.PAD), to(LED0 )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(P3.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(P2.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(P1.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(P0.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(RDIS3g.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(RDIS3f.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(RDIS3e.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(RDIS3d.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(RDIS3c.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(RDIS3b.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(RDIS3a.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(RDIS2g.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(RDIS2f.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(RDIS2e.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(RDIS2d.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(RDIS2c.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(RDIS2b.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(RDIS2a.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(Q3.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(Q2.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tPTSR), from(DIP7.PAD), to(Q1.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(Q0.AR )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(X7.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(X6.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(X5.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(X4.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(X3.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(X2.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(X1.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(X0.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(DIS4g.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(DIS4f.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(DIS4e.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(DIS4d.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(DIS4c.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(DIS4b.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(DIS4a.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(DIS3g.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(DIS3f.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(DIS3e.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(DIS3d.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(DIS3c.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(DIS3b.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(DIS3a.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(DIS2g.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(DIS2f.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(DIS2e.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(DIS2d.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(DIS2c.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(DIS2b.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(DIS2a.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(LED15.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(LED14.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(LED13.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(LED12.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(LED11.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(LED10.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(LED9.AP )
NET: delay(585 585), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*14+tBSR), from(DIP7.PAD), to(LED8.AR )
NET: delay(515 515), type(tIN+tIOI(LVCMOS18)+tROUTE+tPTSR), from(S1_NO.PAD), to(BFC.AP )
NET: delay(515 515), type(tIN+tIOI(LVCMOS18)+tROUTE+tBSR), from(S1_NC.PAD), to(BFC.AR )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tBCLK), from(BFC.Q ), to(Q3.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tBCLK), from(BFC.Q ), to(Q2.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tBCLK), from(BFC.Q ), to(Q1.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tBCLK), from(BFC.Q ), to(Q0.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tBCLK), from(BFC.Q ), to(LED15.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tBCLK), from(BFC.Q ), to(LED14.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tBCLK), from(BFC.Q ), to(LED13.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tBCLK), from(BFC.Q ), to(LED12.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tBCLK), from(BFC.Q ), to(LED11.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tBCLK), from(BFC.Q ), to(LED10.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tBCLK), from(BFC.Q ), to(LED9.C )
NET: delay(465 465), type(tFBK+tROUTE+tBLA*4+tBCLK), from(BFC.Q ), to(LED8.C )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(RDIS3a.Q ), to(DIS4a.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(RDIS3b.Q ), to(DIS4b.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(RDIS3c.Q ), to(DIS4c.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(RDIS3d.Q ), to(DIS4d.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(RDIS3e.Q ), to(DIS4e.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(RDIS3f.Q ), to(DIS4f.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(RDIS3g.Q ), to(DIS4g.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(RDIS2a.Q ), to(RDIS3a.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(RDIS2a.Q ), to(DIS3a.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(RDIS2b.Q ), to(RDIS3b.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(RDIS2b.Q ), to(DIS3b.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(RDIS2c.Q ), to(RDIS3c.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(RDIS2c.Q ), to(DIS3c.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(RDIS2d.Q ), to(RDIS3d.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(RDIS2d.Q ), to(DIS3d.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(RDIS2e.Q ), to(RDIS3e.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(RDIS2e.Q ), to(DIS3e.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(RDIS2f.Q ), to(RDIS3f.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(RDIS2f.Q ), to(DIS3f.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(RDIS2g.Q ), to(RDIS3g.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(RDIS2g.Q ), to(DIS3g.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(P3.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(P3.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(P2.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(P1.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(P1.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(P0.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(Q3.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(Q2.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(Q2.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(Q1.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(Q0.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(Q0.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(LED18 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(LED17 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(LED16.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(LED15.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(LED15.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(LED14.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(LED14.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(LED13.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(LED13.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(LED12.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(LED12.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(LED11.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(LED11.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(LED10.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(LED10.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(LED9.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(LED9.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q3.Q ), to(LED8.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(P3.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(P3.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(P2.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(P1.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(P1.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(P0.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(Q3.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(Q2.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(Q2.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(Q1.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(Q0.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(LED18 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(LED17 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(LED16.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(LED15.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(LED14.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(LED13.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(LED12.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(LED11.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(LED10.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(LED9.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q2.Q ), to(LED8.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q1.Q ), to(P3.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q1.Q ), to(P3.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q1.Q ), to(P2.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q1.Q ), to(P1.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q1.Q ), to(P1.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q1.Q ), to(P0.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q1.Q ), to(Q3.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q1.Q ), to(Q2.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q1.Q ), to(Q1.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q1.Q ), to(Q0.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q1.Q ), to(LED18 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q1.Q ), to(LED17 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q1.Q ), to(LED16.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q1.Q ), to(LED15.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q1.Q ), to(LED14.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q1.Q ), to(LED13.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q1.Q ), to(LED12.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q1.Q ), to(LED11.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q1.Q ), to(LED10.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q1.Q ), to(LED9.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q1.Q ), to(LED8.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q0.Q ), to(P3.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q0.Q ), to(P3.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q0.Q ), to(P2.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q0.Q ), to(P1.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q0.Q ), to(P1.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q0.Q ), to(P0.D.X1 )
